Alergia,Alergeno
Síndrome de alergia oral,manzana
Alergia a las frutas de hueso,albaricoque
Alergia a la insulina,alcachofa
Alergia al ajo,espárrago
Alergia a la histamina,brote de bambú
Alergia al plátano,plátano
Alergia al gluten,cebada
Alergia a las legumbres,frijol
Alergia a los salicilatos,mora
Alergia al brócoli,brócoli
Alergia a las crucíferas,coles de Bruselas
Alergia a la ambrosía,bardana
intolerancia a la lactosa,mantequilla
Alergia a los champiñones,champiñón
Hipersensibilidad,zanahoria
Síndrome de alfa-gal,ganado
Alergia a las aves de corral,pollo
Alergia a la ocratoxina,grano de café
Alergia al maíz,maíz
Alergia a las semillas,semilla de algodón
Alergia a los mariscos,crustáceos
Alergia al pescado,anguila
Alergia a las solanáceas,berenjena
Alergia / intolerancia al azúcar,fructosa
Alergia al LTP,uva
Alergia a los cítricos,pomelo
Alergia a la miel,miel
Alergia a la cerveza,lúpulo
Alergia a la patata,konjac
Intolerancia a la lactosa,lactosa
Urticaria acuagénica,agua mineral
Alergia al cacahuete,cacahuete
Alergia a la menta,menta
Alergia al arroz,arroz
Alergia a la pimienta,sansho